time,pm2_5,pm10,nitrogen_dioxide,ozone,sulphur_dioxide,carbon_monoxide
2026-07-21 00:00:00,42.3,51.3,53.7,38.0,31.1,824.0
2026-07-21 01:00:00,34.9,41.4,44.8,46.0,28.5,561.0
2026-07-21 02:00:00,31.4,36.2,37.6,51.0,26.4,367.0
2026-07-21 03:00:00,30.6,33.9,33.4,51.0,25.2,289.0
2026-07-21 04:00:00,27.8,29.3,30.8,48.0,24.5,280.0
2026-07-21 05:00:00,18.7,20.7,25.4,49.0,19.3,311.0
2026-07-21 06:00:00,20.3,21.3,25.0,54.0,21.3,407.0
2026-07-21 07:00:00,21.2,21.9,24.4,62.0,24.0,543.0
2026-07-21 08:00:00,22.3,22.8,22.9,71.0,25.3,620.0
2026-07-21 09:00:00,15.5,16.1,19.7,83.0,23.7,577.0
2026-07-21 10:00:00,13.0,13.5,15.5,96.0,20.8,474.0
2026-07-21 11:00:00,12.0,12.4,12.6,107.0,18.6,394.0
2026-07-21 12:00:00,11.7,12.0,11.8,115.0,18.2,362.0
2026-07-21 13:00:00,12.1,12.4,12.1,121.0,18.6,353.0
2026-07-21 14:00:00,13.6,13.8,12.9,126.0,19.2,366.0
2026-07-21 15:00:00,13.5,13.7,13.5,132.0,19.7,406.0
2026-07-21 16:00:00,15.1,15.3,14.6,136.0,20.3,468.0
2026-07-21 17:00:00,30.2,31.3,21.8,115.0,20.1,542.0
2026-07-21 18:00:00,36.4,37.1,26.4,101.0,20.5,648.0
2026-07-21 19:00:00,39.9,40.4,32.6,82.0,21.0,765.0
2026-07-21 20:00:00,35.2,35.4,36.0,68.0,21.1,822.0
2026-07-21 21:00:00,32.7,32.8,33.9,66.0,20.4,769.0
2026-07-21 22:00:00,32.2,32.4,29.0,70.0,19.2,655.0
2026-07-21 23:00:00,31.3,31.4,24.6,73.0,18.2,558.0
2026-07-22 00:00:00,30.3,30.3,22.0,73.0,17.5,506.0
2026-07-22 01:00:00,30.0,30.2,20.0,73.0,16.9,472.0
2026-07-22 02:00:00,29.3,29.3,18.5,72.0,16.6,443.0
2026-07-22 03:00:00,29.5,29.6,17.5,69.0,16.8,410.0
2026-07-22 04:00:00,29.6,29.8,17.0,65.0,17.3,384.0
2026-07-22 05:00:00,36.1,36.4,22.9,53.0,20.7,386.0
2026-07-22 06:00:00,35.2,35.6,22.6,58.0,20.1,446.0
2026-07-22 07:00:00,35.3,35.7,22.0,66.0,19.4,534.0
2026-07-22 08:00:00,36.7,37.1,20.3,81.0,18.9,584.0
2026-07-22 09:00:00,37.4,38.1,16.4,109.0,19.0,558.0
2026-07-22 10:00:00,33.8,34.5,11.5,143.0,19.5,495.0
2026-07-22 11:00:00,41.2,104.8,7.8,170.0,19.8,442.0
2026-07-22 12:00:00,42.3,125.3,5.8,184.0,19.7,413.0
2026-07-22 13:00:00,37.4,85.9,5.1,190.0,19.4,394.0
2026-07-22 14:00:00,39.5,95.5,7.0,187.0,19.4,396.0
2026-07-22 15:00:00,40.3,98.7,13.0,171.0,19.8,413.0
2026-07-22 16:00:00,35.3,71.9,21.7,146.0,20.6,451.0
2026-07-22 17:00:00,14.7,16.4,14.7,145.0,18.3,539.0
2026-07-22 18:00:00,17.3,18.2,24.3,121.0,20.7,742.0
2026-07-22 19:00:00,23.9,24.3,37.3,88.0,23.9,994.0
2026-07-22 20:00:00,25.4,25.6,45.1,65.0,25.8,1128.0
2026-07-22 21:00:00,23.3,23.7,42.9,62.0,25.3,1040.0
2026-07-22 22:00:00,21.0,21.2,35.6,68.0,23.6,833.0
2026-07-22 23:00:00,17.6,17.9,29.1,73.0,22.0,651.0
2026-07-23 00:00:00,14.9,15.1,25.2,73.0,20.9,543.0
2026-07-23 01:00:00,21.2,73.1,22.1,71.0,20.0,459.0
2026-07-23 02:00:00,24.9,88.7,20.0,68.0,19.4,397.0
2026-07-23 03:00:00,28.7,98.5,19.3,63.0,19.2,352.0
2026-07-23 04:00:00,34.2,127.1,19.7,58.0,19.3,328.0
2026-07-23 05:00:00,30.7,75.9,21.4,55.0,19.2,339.0
2026-07-23 06:00:00,33.5,88.2,20.4,63.0,20.3,418.0
2026-07-23 07:00:00,38.6,116.6,18.9,76.0,21.7,533.0
2026-07-23 08:00:00,28.3,43.4,16.8,92.0,22.3,595.0
2026-07-23 09:00:00,23.1,26.5,13.3,116.0,21.2,551.0
2026-07-23 10:00:00,21.5,22.1,9.2,144.0,19.2,455.0
2026-07-23 11:00:00,20.5,20.7,6.4,164.0,17.6,382.0
2026-07-23 12:00:00,20.4,20.7,5.6,170.0,16.5,356.0
2026-07-23 13:00:00,33.3,128.1,6.2,168.0,15.7,354.0
2026-07-23 14:00:00,28.2,74.7,7.6,163.0,15.7,381.0
2026-07-23 15:00:00,28.9,79.2,10.0,157.0,17.1,447.0
2026-07-23 16:00:00,31.0,73.8,13.3,148.0,19.3,541.0
2026-07-23 17:00:00,22.5,22.6,16.5,132.0,15.5,637.0
2026-07-23 18:00:00,27.6,27.7,21.0,119.0,17.4,748.0
2026-07-23 19:00:00,28.8,28.9,27.0,100.0,20.0,861.0
2026-07-23 20:00:00,28.8,28.8,30.6,87.0,21.8,908.0
2026-07-23 21:00:00,29.5,29.5,29.3,84.0,22.0,841.0
2026-07-23 22:00:00,30.0,30.2,25.5,86.0,21.3,708.0
2026-07-23 23:00:00,30.0,30.0,22.4,87.0,20.6,582.0
2026-07-24 00:00:00,30.5,30.6,21.1,83.0,20.1,480.0
2026-07-24 01:00:00,31.7,31.8,20.4,78.0,19.6,385.0
2026-07-24 02:00:00,33.5,33.6,19.9,74.0,19.2,318.0
2026-07-24 03:00:00,35.0,35.2,19.4,71.0,18.9,287.0
2026-07-24 04:00:00,35.6,35.6,19.0,68.0,18.8,284.0
2026-07-24 05:00:00,37.7,37.7,18.0,73.0,20.5,306.0
2026-07-24 06:00:00,37.7,37.7,17.8,77.0,20.3,377.0
2026-07-24 07:00:00,34.3,34.5,17.4,83.0,20.1,473.0
2026-07-24 08:00:00,31.5,31.5,16.3,94.0,19.8,525.0
2026-07-24 09:00:00,26.4,26.4,13.6,113.0,19.5,488.0
2026-07-24 10:00:00,24.1,24.2,10.2,136.0,19.2,407.0
2026-07-24 11:00:00,22.9,22.9,7.9,152.0,18.9,345.0
2026-07-24 12:00:00,21.4,21.4,7.4,153.0,18.5,320.0
2026-07-24 13:00:00,20.4,20.4,8.1,147.0,18.1,315.0
2026-07-24 14:00:00,17.7,17.7,9.4,140.0,18.1,336.0
2026-07-24 15:00:00,16.1,16.2,10.9,137.0,19.0,389.0
2026-07-24 16:00:00,16.5,16.6,13.2,133.0,20.3,468.0
2026-07-24 17:00:00,23.3,23.5,17.3,119.0,18.3,568.0
2026-07-24 18:00:00,29.5,29.6,26.2,98.0,19.7,732.0
2026-07-24 19:00:00,34.3,34.6,38.2,70.0,21.5,918.0
2026-07-24 20:00:00,34.3,34.7,45.1,50.0,22.5,988.0
2026-07-24 21:00:00,32.8,33.4,42.2,47.0,21.9,841.0
2026-07-24 22:00:00,31.9,33.2,34.3,52.0,20.5,578.0
2026-07-24 23:00:00,30.5,33.1,27.6,57.0,19.5,375.0
2026-07-25 00:00:00,28.0,31.8,24.1,58.0,19.6,304.0
2026-07-25 01:00:00,26.5,31.4,21.8,59.0,20.1,293.0
2026-07-25 02:00:00,26.3,31.5,20.4,58.0,20.6,290.0
2026-07-25 03:00:00,26.5,31.1,20.4,54.0,21.0,276.0
2026-07-25 04:00:00,27.1,30.5,21.3,50.0,21.3,270.0
2026-07-25 05:00:00,29.7,33.9,22.5,46.0,22.4,288.0
2026-07-25 06:00:00,29.8,32.8,21.9,52.0,22.5,353.0
2026-07-25 07:00:00,28.5,30.6,20.9,60.0,22.6,441.0
2026-07-25 08:00:00,29.0,31.1,19.0,72.0,22.1,493.0
2026-07-25 09:00:00,29.5,34.2,15.4,91.0,20.6,472.0
2026-07-25 10:00:00,26.8,32.8,11.0,113.0,18.6,414.0
2026-07-25 11:00:00,24.3,29.0,7.8,130.0,17.1,369.0
2026-07-25 12:00:00,25.8,29.6,6.4,140.0,16.5,350.0
2026-07-25 13:00:00,32.2,66.1,6.3,144.0,16.3,344.0
2026-07-25 14:00:00,26.4,39.3,7.7,143.0,16.4,361.0
2026-07-25 15:00:00,25.1,33.4,10.7,135.0,16.5,413.0
2026-07-25 16:00:00,24.9,32.1,15.2,120.0,16.8,488.0
2026-07-25 17:00:00,38.3,41.8,23.0,97.0,12.4,565.0
2026-07-25 18:00:00,44.2,46.1,29.1,80.0,13.7,648.0
2026-07-25 19:00:00,51.8,52.7,37.3,58.0,15.6,733.0
2026-07-25 20:00:00,50.3,50.9,42.5,42.0,17.3,781.0
2026-07-25 21:00:00,45.1,45.4,42.0,40.0,18.7,772.0
2026-07-25 22:00:00,46.8,47.0,38.4,45.0,19.9,727.0
2026-07-25 23:00:00,48.1,48.3,34.6,50.0,20.6,670.0
2026-07-26 00:00:00,48.5,48.7,31.2,53.0,20.3,597.0
2026-07-26 01:00:00,47.0,47.1,27.7,55.0,19.5,511.0
2026-07-26 02:00:00,45.4,45.6,25.2,56.0,18.9,446.0
